[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\22.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\22.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\22.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\22.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\22.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\23.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\23.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\23.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\23.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\23.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\23.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\24.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\24.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\24.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\24.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\24.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\24.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\25.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\25.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\25.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\25.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\25.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\25.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\26.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\26.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\26.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\26.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\26.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\26.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\27.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\27.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\27.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\27.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\27.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\27.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\28.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\28.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\28.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\28.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\28.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\28.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\29.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\29.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\29.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\29.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\29.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\29.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\30.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\30.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\30.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\30.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\30.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\30.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\31.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\31.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\31.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\31.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\31.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\31.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\32.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\32.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\32.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\32.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\32.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\32.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\33.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\33.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\33.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\33.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\33.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\34.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\34.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\34.png
